year,region,treat,cpue
2006,bol,mpa,3
2006,bol,mpa,1
2006,bol,mpa,3
2006,bol,mpa,0
2006,bol,mpa,0
2006,bol,mpa,0
2006,bol,mpa,0
2006,bol,mpa,3
2006,bol,mpa,1
2006,bol,mpa,0
2006,bol,mpa,2
2006,bol,mpa,0
2006,bol,mpa,0
2006,bol,mpa,2
2006,bol,mpa,1
2006,bol,mpa,1
2006,bol,mpa,1
2006,bol,mpa,1
2006,bol,mpa,0
2006,bol,mpa,1
2006,bol,mpa,1
2006,bol,mpa,1
2006,bol,mpa,0
2006,bol,mpa,1
2006,bol,mpa,1
2006,bol,mpa,0
2006,bol,mpa,0
2006,bol,mpa,0
2006,bol,mpa,2
2006,bol,mpa,0
2006,bol,mpa,0
2006,bol,mpa,1
2006,bol,mpa,1
2006,bol,mpa,0
2006,bol,mpa,1
2006,bol,mpa,1
2006,bol,mpa,3
2006,bol,mpa,1
2006,bol,mpa,2
2006,bol,mpa,1
2006,bol,mpa,1
2006,bol,mpa,0
2006,bol,mpa,1
2006,bol,mpa,0
2006,bol,mpa,0
2006,bol,mpa,0
2006,bol,mpa,0
2006,bol,mpa,1
2006,bol,mpa,0
2006,bol,mpa,1
2006,bol,mpa,2
2006,bol,mpa,1
2006,bol,mpa,0
2006,bol,mpa,0
2006,bol,mpa,3
2006,bol,mpa,1
2006,bol,mpa,0
2006,bol,mpa,2
2006,bol,mpa,2
2006,bol,mpa,1
2006,bol,mpa,1
2006,bol,mpa,0
2006,bol,mpa,0
2006,bol,mpa,0
2006,bol,mpa,0
2006,bol,mpa,0
2006,bol,mpa,2
2006,bol,mpa,2
2006,bol,mpa,1
2006,bol,mpa,2
2006,bol,mpa,0
2006,bol,mpa,0
2006,bol,mpa,0
2006,bol,mpa,1
2006,bol,mpa,1
2006,bol,mpa,0
2006,bol,mpa,0
2006,bol,mpa,1
2006,bol,mpa,0
2006,bol,mpa,1
2006,bol,mpa,1
2006,bol,mpa,1
2006,bol,mpa,0
2006,bol,mpa,1
2006,bol,mpa,0
2006,bol,mpa,0
2006,bol,mpa,1
2006,bol,mpa,0
2006,bol,mpa,2
2006,bol,mpa,0
2006,bol,mpa,0
2006,bol,mpa,1
2006,bol,mpa,0
2006,bol,mpa,0
2006,bol,mpa,1
2006,bol,mpa,1
2006,bol,mpa,0
2006,bol,mpa,0
2006,bol,mpa,1
2006,bol,mpa,0
2006,bol,con,2
2006,bol,con,3
2006,bol,con,1
2006,bol,con,0
2006,bol,con,0
2006,bol,con,2
2006,bol,con,2
2006,bol,con,1
2006,bol,con,1
2006,bol,con,0
2006,bol,con,1
2006,bol,con,0
2006,bol,con,2
2006,bol,con,0
2006,bol,con,0
2006,bol,con,2
2006,bol,con,3
2006,bol,con,0
2006,bol,con,0
2006,bol,con,0
2006,bol,con,0
2006,bol,con,0
2006,bol,con,1
2006,bol,con,1
2006,bol,con,0
2006,bol,con,0
2006,bol,con,0
2006,bol,con,0
2006,bol,con,0
2006,bol,con,1
2006,bol,con,1
2006,bol,con,0
2006,bol,con,1
2006,bol,con,0
2006,bol,con,0
2006,bol,con,1
2006,bol,con,1
2006,bol,con,0
2006,bol,con,0
2006,bol,con,0
2006,bol,con,1
2006,bol,con,2
2006,bol,con,1
2006,bol,con,0
2006,bol,con,2
2006,bol,con,0
2006,bol,con,0
2006,bol,con,0
2006,bol,con,0
2006,bol,con,1
2006,bol,con,0
2006,bol,con,0
2006,bol,con,2
2006,bol,con,0
2006,bol,con,0
2006,bol,con,1
2006,bol,con,0
2006,bol,con,1
2006,bol,con,0
2006,bol,con,0
2006,bol,con,1
2006,bol,con,0
2006,bol,con,0
2006,bol,con,0
2006,bol,con,0
2006,bol,con,0
2006,bol,con,1
2006,bol,con,0
2006,bol,con,0
2006,bol,con,0
2006,bol,con,0
2006,bol,con,1
2006,bol,con,0
2006,bol,con,0
2006,bol,con,0
2006,bol,con,0
2006,bol,con,0
2006,bol,con,1
2006,bol,con,0
2006,bol,con,2
2006,bol,con,1
2006,bol,con,0
2006,bol,con,0
2006,bol,con,0
2006,bol,con,0
2006,bol,con,0
2006,bol,con,0
2006,bol,con,3
2006,bol,con,1
2006,bol,con,1
2006,bol,con,0
2006,bol,con,1
2006,bol,con,0
2006,bol,con,0
2006,bol,con,1
2006,bol,con,0
2006,bol,con,0
2006,bol,con,0
2006,bol,con,0
2006,bol,con,0
2007,bol,mpa,1
2007,bol,mpa,2
2007,bol,mpa,1
2007,bol,mpa,4
2007,bol,mpa,1
2007,bol,mpa,0
2007,bol,mpa,2
2007,bol,mpa,1
2007,bol,mpa,1
2007,bol,mpa,3
2007,bol,mpa,1
2007,bol,mpa,4
2007,bol,mpa,3
2007,bol,mpa,3
2007,bol,mpa,2
2007,bol,mpa,1
2007,bol,mpa,2
2007,bol,mpa,2
2007,bol,mpa,2
2007,bol,mpa,1
2007,bol,mpa,2
2007,bol,mpa,1
2007,bol,mpa,1
2007,bol,mpa,2
2007,bol,mpa,4
2007,bol,mpa,2
2007,bol,mpa,2
